"filename", "language", "Dart", "comment", "blank", "total"
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\types\enums\gender_enum.dart", "Dart", 24, 0, 5, 29
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\types\enums\lifestyle_enums.dart", "Dart", 21, 0, 4, 25
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\types\enums\restriction_enum.dart", "Dart", 21, 0, 3, 24
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\types\enums\user_event_status_enum.dart", "Dart", 33, 0, 4, 37
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\types\geolocation\distance.dart", "Dart", 19, 0, 2, 21
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\types\geolocation\geolocation.dart", "Dart", 20, 0, 4, 24
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\types\types.dart", "Dart", 1, 0, 1, 2
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\validators\email_validators.dart", "Dart", 6, 2, 1, 9
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\core\utils\validators\masks.dart", "Dart", 9, 0, 1, 10
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\datasources\university_datasource_impl.dart", "Dart", 79, 5, 17, 101
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\chat\message_model.dart", "Dart", 47, 0, 6, 53
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\event\event_messages_model.dart", "Dart", 52, 0, 6, 58
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\event\event_model.dart", "Dart", 193, 2, 17, 212
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\model.dart", "Dart", 11, 3, 4, 18
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\notification\notification_moodel.dart", "Dart", 33, 0, 2, 35
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\organization\organization_model.dart", "Dart", 36, 1, 8, 45
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\post\post_model.dart", "Dart", 155, 0, 14, 169
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\user\friend_model.dart", "Dart", 49, 0, 7, 56
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\user\pinned_post_model.dart", "Dart", 86, 0, 10, 96
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\user\user_event_model.dart", "Dart", 54, 0, 7, 61
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\user\user_hobby_model.dart", "Dart", 51, 0, 7, 58
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\models\user\user_model.dart", "Dart", 172, 2, 12, 186
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\repositories\chat_repository_impl.dart", "Dart", 58, 0, 5, 63
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\repositories\event_repository_impl.dart", "Dart", 495, 45, 75, 615
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\repositories\feed_repository_impl.dart", "Dart", 255, 7, 53, 315
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\repositories\global_content_cache_impl.dart", "Dart", 49, 4, 10, 63
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\repositories\inbox_repository_impl.dart", "Dart", 137, 6, 17, 160
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\repositories\map_repository_impl.dart", "Dart", 360, 42, 81, 483
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\repositories\mock_inbox_repository_impl.dart", "Dart", 207, 5, 11, 223
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\data\repositories\post_repository_impl.dart", "Dart", 263, 13, 48, 324
